,Title,published_date,views,favoriteCount,likeCount,commentCount,month
291,John Legend - P.D.A. (We Just Don't Care) (Live on Letterman),2013-08-26,809264,0,5915,127,Aug
292,John Legend - Ordinary People (Live on Letterman),2013-08-26,3831690,0,25252,674,Aug
293,John Legend - Green Light (Live on Letterman),2013-08-26,534342,0,3305,74,Aug
294,John Legend - Who Did That To You (Live on Letterman),2013-08-26,1057277,0,9929,347,Aug
295,John Legend - All Of Me (Live on Letterman),2013-08-26,9373197,0,88677,2334,Aug
296,John Legend - Made To Love (Live on Letterman),2013-08-26,715371,0,4325,197,Aug
297,John Legend - Let's Get Lifted (Live on Letterman),2013-08-26,340647,0,1050,29,Aug
298,John Legend - Who Do We Think We Are (Live on Letterman),2013-08-26,405102,0,2845,111,Aug
299,John Legend - The Beginning... (Live on Letterman),2013-08-26,321682,0,1477,66,Aug
300,John Legend - Used To Love U (Live on Letterman),2013-08-26,213100,0,917,18,Aug
301,John Legend - Tonight (Best You Ever Had) (Live on Letterman),2013-08-26,904379,0,7034,204,Aug
302,John Legend - Save Room (Live on Letterman),2013-08-26,573251,0,3726,116,Aug
303,Behind The Scenes: John Legend's #MadeToLove Video,2013-08-02,14264,0,74,12,Aug
304,John Legend - Made to Love (Official Video),2013-08-01,44544858,0,199549,5272,Aug
305,John Legend - Made To Love (Audio),2013-06-18,2241234,0,16948,724,Jun
306,An Audience with John Legend #JohnLegendHangout #TheHangout,2013-05-31,0,0,120,9,May
307,John Legend - Who Do We Think We Are (Official Video) ft. Rick Ross,2013-05-06,13756665,0,92491,4118,May
308,John Legend - Who Do We Think We Are (Audio) ft. Rick Ross,2013-03-25,1315335,0,9495,628,Mar
309,The Beginning (Audio),2013-03-19,358207,0,2480,82,Mar
310,"Be sure to vote November 6, 2012!",2012-11-05,14294,0,81,13,Nov
311,Tune in to Vote for Bridget Carrington on ABC's Duets,2012-07-11,16043,0,371,7,Jul
312,"Bridget, J. Rome, and John Glosson (from Duets) Take Us To Church!",2012-07-03,10244,0,110,9,Jul
313,This Week on Duets: Standards - Vote for #TeamJohn,2012-07-03,6828,0,16,3,Jul
314,Vote for Bridget Carrington on ABC's Duets [Phone: 1-855-962-5001],2012-06-29,9666,0,332,6,Jun
315,Duets Live Shows Start TONIGHT - 8/7c on ABC!,2012-06-28,11326,0,227,4,Jun
316,"John Legend - Wake Up Everybody (Live at AMEX Unstaged) ft. Common, Melanie Fiona",2012-05-23,57837,0,509,18,May
317,John Legend - Tonight (Best You Ever Had) (Official Video) ft. Ludacris,2012-03-13,199078157,0,1073566,27425,Mar
318,"John Legend ft/ Ludacris - ""Tonight (Best You Ever Had)"" - Music Video Teaser",2012-03-09,155589,0,410,15,Mar
319,John Legend - Tonight (Best You Ever Had) feat. Ludacris,2012-01-25,8725922,0,55927,1770,Jan
320,"JL's Post Great Wall Commentary, Beijing.",2011-12-29,6030,0,22,3,Dec
321,The Great Wall Challenge!!! Beijing,2011-12-29,7057,0,35,9,Dec
322,John Legend Tour Rehearsal,2011-09-07,68865,0,98,12,Sep
323,"John Legend, The Roots - Wake Up! EPK",2011-08-13,43378,0,157,15,Aug
324,"Thank You Kenny Mayne for the ""Legend"" Hats",2011-07-07,27690,0,76,6,Jul
325,Meet the ladies of the show. John Legend on tour with Sade Summer 2011,2011-06-30,27034,0,176,17,Jun
326,Meet the real star of the tour:  Puddy. (John Legend on tour with Sade - Summer 2011),2011-06-28,16330,0,94,7,Jun
327,John Legend backstage in D.C. (2011 Summer Tour with Sade),2011-06-24,17381,0,60,12,Jun
328,"John Legend surprises Baptist Church in West Philly (""How I Got Over"")",2011-06-20,2376350,0,16317,985,Jun
329,"John Legend backstage night 1: Baltimore, MD (Summer 2011 Tour w/ Sade)",2011-06-17,54026,0,122,17,Jun
330,John Legend summer tour kick-off rehearsal performance (rebroadcast),2011-06-15,70532,0,401,48,Jun
331,"JL And Band Rehearse For Sade Summer Tour, Philadelphia",2011-06-12,7851,0,64,8,Jun
332,"JL Gives The Commencement Address To Kean University's Undergrad Class Of 2011, New Jersey",2011-05-15,13418,0,71,7,May
333,"JL In The Procession Heading To The Stage For His Commencement Address, New Jersey",2011-05-14,2841,0,24,1,May
334,John Legend at Kean University in New Jersey,2011-05-14,4951,0,44,4,May
335,"Commentary Before Hitting The Stage, Sydney",2011-04-25,9416,0,52,7,Apr
336,"Christine and Me Hanging With A Koala Bear At Dream World, The Gold Coast",2011-04-25,13767,0,97,4,Apr
337,"Enjoy The Wallabies At Dream World, The Gold Coast",2011-04-25,3388,0,18,3,Apr
338,"It's Show Time! Commentary Before Hitting The Stage, Seoul.",2011-04-22,2215,0,31,6,Apr
339,Commentary On The Tokyo Show,2011-04-18,2386,0,14,3,Apr
340,"Commentary On The Rock & Roots Festival, Singapore",2011-04-16,3335,0,29,6,Apr
341,"Attending Soundcheck At The Rock & Roots Festival, Singapore",2011-04-16,10045,0,84,12,Apr
342,"Performing ""Green Light,"" with a student at St. Thomas University, Minneapolis",2011-04-16,4662,0,54,5,Apr
343,"Rehearsing With  Dr. John Duet  doing ""Such A Night""  for his Rock & Roll Hall Of Fame Induction.",2011-04-16,8981,0,85,10,Apr
344,"Rehearsing ""We Rise"" with the Harlem Village Academies",2011-04-05,24241,0,65,16,Apr
345,John Legend - Everybody Knows (MTV Video),2011-03-26,8029,0,98,7,Mar
346,John Legend - Rolling in the Deep (Adele cover),2011-03-25,6832350,0,85048,4128,Mar
347,John Legend - Ordinary People (Live from the House Of Blues-Video),2011-03-24,348467,0,1950,74,Mar
348,"John Legend, The Roots - Our Generation (The Hope Of the World) (Track By Track)",2011-03-22,37863,0,89,2,Mar
349,Making a surprise appearance at a Rick Ross show,2011-03-06,67399,0,34,6,Mar
350,"JL Visits Lee High School's Senior Class, Houston",2011-03-05,3174,0,23,4,Mar
351,"JL Sings Classic Stevie Wonder Song ""Love's In Need of Love""  at The White House",2011-03-01,26620,0,133,15,Mar
352,"JL Rehearses ""I Heard It Through The Grape Vine"" For The Motown Tribute, The White House",2011-02-23,55102,0,295,36,Feb
353,"JL, Jamie Foxx, Seal and Nick Jonas Rehearse For The Motown Tribute, The White House",2011-02-23,121986,0,1025,182,Feb
354,"JL And The Roots Perform ""I Can't Write Left Handed,"" London",2011-02-20,6363,0,56,10,Feb
355,"JL's Rehearsal Performance "" I Wish I Knew How It Would Feel To Be Free"" On The Jay Leno Show, LA",2011-02-20,18514,0,109,5,Feb
356,"JL Performs ""If Your Out There"" For TFA Conference, D.C.",2011-02-20,3017,0,35,5,Feb
357,"JL's Commentary On The Jay Leno Performance, LA",2011-02-20,2401,0,22,3,Feb
358,"JL Speaks To Teach For America Conference, D.C.",2011-02-20,798,0,10,2,Feb
359,"JL And Natasha Bedingfield Duet, Grammy Weekend LA",2011-02-20,4138,0,28,0,Feb
360,"JL And Red Rooster Fried Chicken Cook Off, Harlem",2011-02-16,5301,0,57,21,Feb
361,"JL Commentary On Doing BBC Extra Radio, London",2011-02-04,1957,0,24,8,Feb
362,Happy Holidays and Happy New Year!,2010-12-17,8681,0,64,16,Dec
363,John Legend - 2010 Red Carpet Interview (American Music Awards),2010-11-24,8864,0,27,0,Nov
364,"JL And Bloomingdale's Spreading Holiday Spirit For The Their Holiday Windows Reveal, New York City",2010-11-20,4904,0,36,5,Nov
365,"John Legend, The Roots - Shine (Live from Brooklyn Bowl)",2010-11-19,45829,0,175,3,Nov
366,"John Legend, The Roots - Hard Times (Live from Brooklyn Bowl)",2010-11-19,60048,0,634,37,Nov
367,"John Legend, The Roots - Wake Up Everybody (Live from Brooklyn Bowl)",2010-11-19,45833,0,433,6,Nov
368,"John Legend, The Roots - Ordinary People (Live from Brooklyn Bowl)",2010-11-19,58589,0,373,26,Nov
369,"John Legend, The Roots - Compared To What (Live from Brooklyn Bowl)",2010-11-19,29409,0,230,27,Nov
370,"JL Performing ""Wake Up Everybody On The Tom Joyner Show, Dallas",2010-11-04,7724,0,32,3,Nov
371,"JL's Interview With Tom Joyner And The Morning Show Team, Dallas",2010-11-04,3276,0,10,0,Nov
372,"JL Sings The National Anthem For The MLB Game 1 World Series, San Francisco",2010-11-03,8481,0,87,12,Nov
373,"JL's Commentary on Game One Of MLB World Series, San Francisco",2010-11-03,1421,0,8,0,Nov
374,"JL's MLB World Series Rehearsal, San Francisco",2010-11-03,1383,0,11,1,Nov
375,10 minutes before John Legend was set to perform the National Anthem at the World Series,2010-11-03,9368,0,56,2,Nov
376,JL And The Roots Rehearsal For D.W.T.S.,2010-11-03,2760,0,11,2,Nov
377,JL's Commentary On Dancing With The Stars,2010-10-24,2972,0,11,1,Oct
378,"JL's Commentary On P.O.T.U.S. Rally, Columbus OH",2010-10-24,1064,0,10,3,Oct
379,"John Legend, The Roots - I Can't Write Left Handed (Live from Brooklyn Bowl)",2010-10-21,60291,0,650,45,Oct
380,"John Legend, The Roots - Hang On In There (Track By Track)",2010-10-20,19987,0,60,7,Oct
381,"John Legend, The Roots - Wake Up Everybody (Track By Track)",2010-10-20,26051,0,35,2,Oct
382,"John Legend, The Roots - Shine (Track By Track)",2010-10-20,8581,0,21,4,Oct
383,JL Boarding The G5 Back To New York From London.,2010-10-17,3483,0,10,3,Oct
384,"JL Performs Shine on ""The Weekend Wogan Show""",2010-10-13,3508,0,20,1,Oct
385,"JL Performs ""Shine"" On Extreme Make Over Home Edition, Cleveland OH",2010-10-09,5564,0,34,8,Oct
386,"JL Performs ""Stay With You"" For Claremont College, Claremont CA.",2010-10-09,22812,0,60,3,Oct
387,"JL's Commentary On Surprising The Extreme Make Over Home Edition Family, Cleveland OH.",2010-10-09,1178,0,6,1,Oct
388,"JL And The Roots Rehearsing For The Amex Unstaged Performance, New York City",2010-10-09,1305,0,12,3,Oct
389,"JL's Commentary About The Amex Unstaged Show, New York City",2010-10-09,720,0,10,6,Oct
390,"JL Commentary Before They Hit The Stage At The Apple Store, SoHo NYC",2010-10-09,1239,0,6,3,Oct
391,"JL Surprises A Howard University Class As A Guest Lecturer, D.C.",2010-10-02,2677,0,32,4,Oct
392,John Legend & Questlove Curate YouTube,2010-09-17,212009,0,244,143,Sep
393,"John Legend, The Roots - Making of ""Wake Up Everybody""",2010-09-14,32746,0,114,4,Sep
394,"JL Arrives For The Premiere of ""Waiting For Super Man"", Toronto",2010-09-14,3867,0,5,1,Sep
395,"JL's Commentary on The Film ""Waiting For Superman"", Toronto",2010-09-14,5344,0,27,1,Sep
396,"John Legend, The Roots - Shine (Live In Studio)",2010-09-14,969642,0,3218,181,Sep
397,"Pre-Show Commentary at The North Sea Jazz Festival, Curacao",2010-09-14,5337,0,20,4,Sep
398,"John Legend, The Roots - John Legend & ?uestlove Teaser: UNSTAGED",2010-09-14,7277,0,19,1,Sep
399,"John Legend, The Roots - Compared To What (Live In Studio)",2010-09-13,334212,0,1970,171,Sep
400,"John Legend, The Roots - Hard Times (Live In Studio)",2010-09-13,919179,0,5326,273,Sep
401,Revealing my new album with The Roots for the first time!,2010-09-10,7789,0,52,13,Sep
402,"John Legend, The Roots - I Can't Write Left Handed (Track By Track)",2010-09-09,10396,0,33,2,Sep
403,"John Legend, The Roots - I Wish I Knew How It Would Feel To Be Free (Track By Track)",2010-09-09,24420,0,94,5,Sep
404,"John Legend, The Roots - Humanity (Love The Way It Should Be) (Track By Track)",2010-09-09,28559,0,127,19,Sep
405,"John Legend, The Roots - Wholy Holy (Track By Track)",2010-09-09,69524,0,95,10,Sep
406,"John Legend, The Roots - Compared To What (Track By Track)",2010-09-09,11651,0,20,3,Sep
407,"John Legend, The Roots - Hard Times (Track By Track)",2010-09-09,53364,0,46,3,Sep
408,"John Legend, The Roots - Little Ghetto Boy (Track By Track)",2010-09-09,21902,0,37,1,Sep
409,"John Legend, The Roots - Little Ghetto Boy (Live In Studio)",2010-09-08,737334,0,3756,168,Sep
410,The Ladies Warming Up For The Curacao Show,2010-09-07,24614,0,255,26,Sep
411,"JL's Press Conference for The North Sea Jazz Festival, Curacao",2010-09-07,4917,0,16,1,Sep
412,"JL's Instyle Magazine Photo Shoot, New York City",2010-09-07,3128,0,12,3,Sep
413,JL Speech for American Airlines Perfomance at Bowery Ballroom,2010-09-02,966,0,7,2,Sep
414,"JL's Commentary At The Bleeker Street Record Shop, New York City",2010-09-02,5034,0,16,3,Sep
415,"JL's Commentary on The Rock The Bells Tour, New York City",2010-09-02,3120,0,12,0,Sep
416,John Legend and The Roots - www.HouseParty.com/wakeup,2010-08-31,3501,0,13,3,Aug
417,"John Legend, The Roots - I Can't Write Left Handed (Live In Studio)",2010-08-30,231301,0,1581,152,Aug
418,"JL's Bloomingdales Photo Shoot, New York",2010-08-28,2573,0,11,2,Aug
419,JL's Commentary On The Bloomingdales PhotoShoot,2010-08-28,1369,0,9,1,Aug
420,"JL's Rehearsal Performance For The Miss Universe Pageant, Las Vegas",2010-08-23,45503,0,109,38,Aug
421,"JL's Commentary on The Miss Universe Pageant, Las Vegas",2010-08-23,4655,0,16,1,Aug
422,"Surprise Guest Common Performs At The Troubadour, Los Angeles",2010-08-22,2272,0,21,1,Aug
423,"JL, The Roots and Common Performing ""They Say"" at The Troubadour, Los Angeles",2010-08-22,7923,0,114,7,Aug
424,"JL And The Roots About To Tear It Down At The Troubadour, Los Angeles",2010-08-22,1871,0,10,2,Aug
425,"JL And The Roots Rehearsing For Troubadour Show, Los Angeles",2010-08-22,1198,0,12,5,Aug
426,"JL Makes An Appearance on Big Boy's Neighborhood Radio Show, Los Angeles",2010-08-22,3104,0,17,2,Aug
427,"JL Performs ""Wake Up Everybody"" For Grammy Staff, Los Angeles",2010-08-22,3929,0,23,2,Aug
428,"Neil Portnow, President of The Grammy's Introduces JL. Los Angeles",2010-08-22,597,0,10,6,Aug
429,102.3 FM Los Angeles Interview,2010-08-20,1890,0,15,2,Aug
430,"John Legend, The Roots - Wake Up Everybody (Official Video) ft. Melanie Fiona, Common",2010-08-18,13139915,0,87576,3110,Aug
431,"JL, Kanye West and Estelle American Boy. New York",2010-08-13,12414,0,113,8,Aug
432,"JL & Kanye West, Homecoming. New York",2010-08-13,76847,0,1262,41,Aug
433,"JL Performing For The Jerry Rice HOF Party, Canton OH",2010-08-08,1792,0,35,7,Aug
434,"JL and Jerry Rice, HOF Party",2010-08-08,1357,0,6,1,Aug
435,"JL Commentary For Jerry Rice HOF Party, Canton OH",2010-08-08,2289,0,16,2,Aug
436,"""Hard Times"" JL and The Roots, GMA",2010-08-08,3103,0,36,8,Aug
437,"JL GMA Commentary, New York",2010-08-08,2022,0,17,2,Aug
438,"JL, Angelique Kidjo and The Roots Rehearsing for The Jimmy Fallon Show",2010-08-05,4728,0,30,2,Aug
439,"John Legend Performs ""Dream"" In Barcelona",2010-08-05,4952,0,37,7,Aug
440,"JL's Commentary on ""Wake Up Everybody"" Video Shoot",2010-08-05,3037,0,17,3,Aug
441,"John Legends ""Wake Up Everybody"" Video Shoot Ft. The Roots, Common and Melanie Fiona",2010-08-05,13178,0,30,5,Aug
442,"John Legend, The Roots - Wake Up Everybody (Audio) ft. Common, Melanie Fiona",2010-07-21,187434,0,1614,47,Jul
443,John Legend & The Roots Grammy Weekend 2010,2010-02-09,97347,0,120,20,Feb
444,John Legend - Green Light ft. André 3000,2009-11-24,434078,0,3187,99,Nov
445,John Legend - Slow Dance (Short Version - Live Video),2009-10-03,2763681,0,7094,372,Oct
446,John Legend - Save Room (Official Video),2009-10-03,36687590,0,153969,4566,Oct
447,John Legend - Heaven (Official Video),2009-10-03,8468585,0,28836,1328,Oct
448,John Legend - P.D.A. (We Just Don't Care) (Official Video),2009-10-03,24097052,0,128167,3846,Oct
449,John Legend - Used to Love U (Official Video),2009-10-03,19064452,0,78963,2587,Oct
450,John Legend - Everybody Knows (Official Video),2009-10-03,40660192,0,173702,4283,Oct
451,John Legend - Green Light (Official Video) ft. André 3000,2009-10-03,46895197,0,293635,10497,Oct
452,John Legend - Stereo (Official Video),2009-10-03,4665254,0,16121,945,Oct
453,John Legend - So High (Official Video),2009-10-03,16196547,0,69985,2017,Oct
454,John Legend - Show Me (Official Video),2009-10-03,6489474,0,18826,1014,Oct
455,John Legend - Number One (Official Video),2009-10-03,6445317,0,15950,541,Oct
456,John Legend - Ordinary People (Official Music Video),2009-10-03,84280654,0,500100,13415,Oct
457,John Legend Thank You,2009-08-11,47763,0,52,14,Aug
458,John Legend Fan Corps Street Team,2009-08-10,12433,0,40,6,Aug
459,John joins (PRODUCT) RED at MSG in NYC,2009-07-29,12719,0,121,29,Jul
460,Finding Your Truth: Living a Soulful Life,2009-05-19,44459,0,340,36,May
461,"""Greenlight"" Dancing With The Stars Performance",2008-11-20,91969,0,293,36,Nov
462,Don't Forget to Register to Vote!!,2008-09-12,47226,0,131,28,Sep
463,If You're Out There,2008-08-26,391808,0,1043,155,Aug
